angle,startx,starty,endx,endy
15,69.58148347421863,5.176380902050415,64.75185434277329,6.4704761275630185
25,70.773844259267,8.452365234813989,66.24230532408374,10.565456543517486
35,72.51695911422016,11.471528727020921,68.4211988927752,14.339410908776152
45,74.75786437626904,14.142135623730951,71.2223304703363,17.67766952966369
55,77.42847127297907,16.383040885779835,74.56058909122385,20.478801107224793
65,80.447634765186,18.126155740732997,78.3345434564825,22.657694675916247
75,83.72361909794958,19.318516525781366,82.42952387243697,24.148145657226706
85,87.15688514504683,19.92389396183491,86.72110643130854,24.90486745229364
