,y,string1,string2,string3,string4,string5,string6
0,0.5,-17.531542380731818,-10.51892542843909,-3.5063084761463625,3.5063084761463625,10.518925428439092,17.531542380731818
1,30.948760213906915,-17.92995714499438,-10.757974286996626,-3.585991428998875,3.585991428998875,10.757974286996628,17.92995714499438
2,65.26105279834206,-18.37892530873236,-11.027355185239415,-3.675785061746471,3.675785061746471,11.027355185239417,18.37892530873236
3,97.64754437800894,-18.802694825696502,-11.281616895417901,-3.7605389651392995,3.7605389651392995,11.281616895417903,18.802694825696502
4,128.21632185793837,-19.202679987256488,-11.521607992353893,-3.8405359974512967,3.8405359974512967,11.521607992353895,19.202679987256488
5,157.0694056913265,-19.580215706706795,-11.748129424024077,-3.9160431413413583,3.9160431413413583,11.748129424024079,19.580215706706795
6,184.30309036331295,-19.936561974415742,-11.961937184649445,-3.9873123948831477,3.9873123948831477,11.961937184649447,19.936561974415742
7,210.00826576487418,-20.272908062926213,-12.163744837755727,-4.054581612585242,4.054581612585242,12.16374483775573,20.272908062926213
8,234.27072052938513,-20.590376496042207,-12.354225897625325,-4.11807529920844,4.11807529920844,12.354225897625327,20.590376496042207
9,257.17142834420866,-20.890026795147705,-12.534016077088623,-4.17800535902954,4.17800535902954,12.534016077088625,20.890026795147705
10,278.7868181928494,-21.172859015260766,-12.703715409156459,-4.234571803052153,4.234571803052153,12.70371540915646,21.172859015260766
11,299.18902942958204,-21.43981708262422,-12.863890249574531,-4.2879634165248435,4.2879634165248435,12.863890249574533,21.43981708262422
12,318.44615253783985,-21.691791944971733,-13.01507516698304,-4.338358388994346,4.338358388994346,13.015075166983042,21.691791944971733
13,336.6224563758734,-21.929624544983056,-13.157774726989834,-4.385924908996611,4.385924908996611,13.157774726989835,21.929624544983056
14,353.778602668091,-22.154108626852047,-13.292465176111227,-4.430821725370408,4.430821725370408,13.29246517611123,22.154108626852047
15,369.97184845792447,-22.36599338533412,-13.419596031200472,-4.473198677066823,4.473198677066823,13.419596031200475,22.36599338533412
16,385.25623719788916,-22.565985966114113,-13.539591579668468,-4.513197193222822,4.513197193222822,13.53959157966847,22.565985966114113
17,399.6827791145832,-22.754753825839266,-13.652852295503559,-4.550950765167852,4.550950765167852,13.652852295503562,22.754753825839266
18,413.29962145057647,-22.932926959693738,-13.759756175816243,-4.586585391938747,4.586585391938747,13.759756175816245,22.932926959693738
19,426.15220915135706,-23.101100003948975,-13.860660002369384,-4.620220000789794,4.620220000789794,13.860660002369388,23.101100003948975
20,438.2834365336125,-23.25983422050697,-13.955900532304183,-4.651966844101393,4.651966844101393,13.955900532304184,23.25983422050697
21,449.73379044102427,-23.40965937005972,-14.045795622035833,-4.681931874011943,4.681931874011943,14.045795622035834,23.40965937005972
22,460.5414853653446,-23.55107548011625,-14.130645288069749,-4.710215096023249,4.710215096023249,14.130645288069752,23.55107548011625
